model,significant_fdr05_z,top_category_z,significant_fdr05_w,top_category_w,sig_agree_w_vs_z,category_agree,significant_fdr05_ds,top_category_ds,sig_agree_ds_vs_z
PMC11504279_hypoxia_PAAD,False,Malignant,False,Malignant,True,True,False,Malignant,True
PMC11550951_cuproptosis_lncRNA_PRAD,False,Stromal_Vascular,False,Stromal_Vascular,True,True,False,Stromal_Vascular,True
PMC11564170_cuproptosis_AML,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC11577587_glutamine_HCC,True,Malignant,True,Malignant,True,True,True,Malignant,True
PMC11634757_lactylation_STAD,False,Stromal_Vascular,False,Stromal_Vascular,True,True,False,Stromal_Vascular,True
PMC11656000_pyroptosis_CRC,False,Stromal_Vascular,False,Immune_Hematopoietic,True,False,False,Stromal_Vascular,True
PMC11760997_senescence_STAD,True,Stromal_Vascular,True,Stromal_Vascular,True,True,True,Stromal_Vascular,True
PMC11855622_mitophagyE3_BRCA,False,Malignant,True,Malignant,False,True,False,Malignant,True
PMC11866598_telomere_HCC,True,Malignant,True,Malignant,True,True,True,Malignant,True
PMC11914417_disulfidptosis_CRC,False,Epithelial_mixed,True,Epithelial_mixed,False,True,True,Epithelial_mixed,False
PMC11920466_COAD,False,Stromal_Vascular,False,Stromal_Vascular,True,True,False,Stromal_Vascular,True
PMC12047218_glycolysis_OS,False,Malignant,True,Malignant,False,True,True,Malignant,False
PMC12055729_lactylation_UCEC,False,Stromal_Vascular,False,Stromal_Vascular,True,True,False,Stromal_Vascular,True
PMC12078231_ubiquitination_ALL,False,Malignant,True,Malignant,False,True,False,Malignant,True
PMC12084325_disulfidptosis_lncRNA_AML,False,Malignant,True,Malignant,False,True,True,Immune_Hematopoietic,False
PMC12179157_PANoptosis_SKCM,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC12210501_ferroptosis_LUAD,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC12219082_necroptosis_SKCM,True,Immune_Hematopoietic,False,Immune_Hematopoietic,False,True,True,Immune_Hematopoietic,True
PMC12239816_hypoxia_Glioma,False,Immune_Hematopoietic,True,Malignant,False,False,True,Immune_Hematopoietic,False
PMC12354743_NETs_Glioma,False,Malignant,False,Malignant,True,True,False,Malignant,True
PMC12378281_disulfidptosis_AML,False,Immune_Hematopoietic,True,Immune_Hematopoietic,False,True,True,Immune_Hematopoietic,False
PMC12399450_mitochondrial_STAD,False,Stromal_Vascular,False,Epithelial_mixed,True,False,False,Epithelial_mixed,True
PMC12402452_exosome_AML,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC12504172_nucleotide_MB,True,Malignant,True,Malignant,True,True,True,Malignant,True
PMC12647489_cholesterol_HCC,True,Malignant,True,Malignant,True,True,True,Malignant,True
PMC12891303_CAF_BLCA,True,Stromal_Vascular,True,Stromal_Vascular,True,True,True,Stromal_Vascular,True
PMC12891315_CAF_UCEC,True,Immune_Hematopoietic,True,Immune_Hematopoietic,True,True,True,Immune_Hematopoietic,True
PMC12905907_disulfidptosis_SKCM,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC12906242_m6A_OS,False,Stromal_Vascular,True,Stromal_Vascular,False,True,True,Stromal_Vascular,False
PMC12971589_CAF_OSCC,False,Stromal_Vascular,False,Immune_Hematopoietic,True,False,False,Immune_Hematopoietic,True
PMC13083393_autophagy_BRCA,True,Stromal_Vascular,True,Malignant,True,False,True,Stromal_Vascular,True
PMC13190656_ferroptosis_CRC,False,Epithelial_mixed,True,Epithelial_mixed,False,True,True,Epithelial_mixed,False
PMC13333213_pyroptosis_NSCLC,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC13355270_mitophagy_BLCA,False,Epithelial_mixed,False,Epithelial_mixed,True,True,False,Epithelial_mixed,True
PMC13406258_PCDgenes_BRCA,False,Malignant,True,Malignant,False,True,False,Malignant,True
PMC13490468_ATIC_HCC,False,Malignant,True,Malignant,False,True,True,Malignant,False
PMC7847640_glycolysis_lncRNA_UCEC,False,Immune_Hematopoietic,True,Stromal_Vascular,False,False,False,Immune_Hematopoietic,True
PMC7880321_immune_BLCA,False,Epithelial_mixed,False,Epithelial_mixed,True,True,False,Epithelial_mixed,True
PMC8291813_cGASSTING_STAD,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC8377503_glycolysis_colon,False,Stromal_Vascular,True,Epithelial_mixed,False,False,False,Stromal_Vascular,True
PMC8379743_m6A_LUAD,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC8464158_glycolysis_lncRNA_OV,False,Immune_Hematopoietic,True,Epithelial_mixed,False,False,False,Immune_Hematopoietic,True
PMC8605142_glycolysis_HCC,False,Malignant,True,Malignant,False,True,False,Malignant,True
PMC8791745_hypoxia_lncRNA_HNSCC,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC8812245_glycolysis_READ,False,Epithelial_mixed,True,Epithelial_mixed,False,True,False,Stromal_Vascular,True
PMC8994655_autophagy_lncRNA_STAD,False,Stromal_Vascular,False,Immune_Hematopoietic,True,False,False,Immune_Hematopoietic,True
PMC9035888_autophagy_BRCA,False,Malignant,False,Malignant,True,True,False,Malignant,True
PMC9048552_autophagy_lncRNA_SKCM,False,Immune_Hematopoietic,True,Immune_Hematopoietic,False,True,True,Immune_Hematopoietic,False
PMC9086515_ferroptosis_Glioma,False,Malignant,True,Malignant,False,True,True,Malignant,False
PMC9092832_hypoxia_lncRNA_digestive_panCancer,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC9097333_autophagy_GBM,False,Malignant,True,Malignant,False,True,False,Malignant,True
PMC9124146_autophagy_lncRNA_PAAD,False,Epithelial_mixed,False,Epithelial_mixed,True,True,True,Epithelial_mixed,False
PMC9341065_immune_autophagy_BLCA,False,Stromal_Vascular,False,Stromal_Vascular,True,True,False,Stromal_Vascular,True
PMC9342864_autophagy_Glioma,False,Malignant,False,Malignant,True,True,False,Malignant,True
PMC9361349_DNArepair_SKCM,True,Immune_Hematopoietic,True,Immune_Hematopoietic,True,True,True,Immune_Hematopoietic,True
PMC9420977_cuproptosis_Glioma,True,Malignant,True,Malignant,True,True,True,Malignant,True
PMC9465161_m7G_lncRNA_COAD,True,Epithelial_mixed,True,Epithelial_mixed,True,True,False,Epithelial_mixed,False
