model,dataset,n_genes,K_celltypes,top_celltype,top_count,max_prop,entropy_concentration,binom_pvalue,top_category,tautological_pool,fdr_qvalue,significant_fdr05,underpowered_n_lt6
PMC12906242_m6A_OS,OS_GSE162454,14,8,Osteoblasts,4,0.286,0.195,0.08732814031054659,Stromal_Vascular,False,0.13938914703414168,False,False
PMC12971589_CAF_OSCC,OSCC_GSE172577,8,11,Endothelial,2,0.25,0.277,0.16028671562247984,Stromal_Vascular,True,0.21957671957671956,False,False
PMC13083393_autophagy_BRCA,GSE176078,11,9,Endothelial,5,0.455,0.299,0.004387650216900614,Stromal_Vascular,False,0.0320216049382716,True,False
PMC13190656_ferroptosis_CRC,GSE81861,8,7,Epithelial,3,0.375,0.232,0.09355552776236337,Epithelial_mixed,False,0.14379831119029923,False,False
PMC13406258_PCDgenes_BRCA,GSE176078,8,9,Cancer Epithelial,3,0.375,0.241,0.04999816362319441,Malignant,False,0.10109143198426143,False,False
PMC13490468_ATIC_HCC,GSE151530,4,6,Malignant cells,3,0.75,0.686,0.016203703703703703,Malignant,False,0.0640432098765432,False,True
PMC7847640_glycolysis_lncRNA_UCEC,UCEC_GSE139555,2,6,Tprolif,1,0.5,0.613,0.3055555555555555,Immune_Hematopoietic,False,0.33369883040935666,False,True
PMC8291813_cGASSTING_STAD,GSE167297,3,9,Mono/Macro,1,0.333,0.5,0.29766803840877915,Immune_Hematopoietic,False,0.33369883040935666,False,True
PMC8377503_glycolysis_colon,GSE81861,8,7,Endothelial,2,0.25,0.199,0.3201666458217726,Stromal_Vascular,False,0.33835723297600306,False,False
PMC8464158_glycolysis_lncRNA_OV,OV_GSE154600,3,11,Tprolif,1,0.333,0.542,0.24868519909842218,Immune_Hematopoietic,False,0.29914306558216003,False,True
PMC8605142_glycolysis_HCC,GSE151530,3,6,Malignant cells,2,0.667,0.645,0.07407407407407406,Malignant,False,0.12547241118669689,False,True
PMC8812245_glycolysis_READ,GSE81861,6,7,Epithelial,3,0.5,0.48,0.04162381320708209,Epithelial_mixed,False,0.0914463141025641,False,False
PMC8994655_autophagy_lncRNA_STAD,GSE167297,3,9,Fibroblasts,2,0.667,0.71,0.03429355281207132,Stromal_Vascular,False,0.08371661421770352,False,True
PMC9035888_autophagy_BRCA,GSE176078,3,9,Cancer Epithelial,1,0.333,0.5,0.29766803840877915,Malignant,False,0.33369883040935666,False,True
PMC9086515_ferroptosis_Glioma,Glioma_GSE131928,9,8,AC-like Malignant,3,0.333,0.119,0.09189072251319884,Malignant,False,0.14379831119029923,False,False
PMC9092832_hypoxia_lncRNA_digestive_panCancer,GSE167297,4,9,Mono/Macro,2,0.5,0.527,0.06355738454503886,Immune_Hematopoietic,False,0.11722806482751612,False,True
PMC9097333_autophagy_GBM,Glioma_GSE131928,7,8,OPC-like Malignant,2,0.286,0.35,0.21460819244384766,Malignant,False,0.26585791004237846,False,False
PMC9124146_autophagy_lncRNA_PAAD,PAAD_GSE154778,7,6,Epithelial,2,0.286,0.246,0.33020404663923186,Epithelial_mixed,False,0.33835723297600306,False,False
PMC9342864_autophagy_Glioma,Glioma_GSE131928,9,8,MES-like Malignant,2,0.222,0.166,0.31278216838836664,Malignant,False,0.33715480488616145,False,False
PMC9420977_cuproptosis_Glioma,Glioma_GSE131928,9,8,AC-like Malignant,5,0.556,0.447,0.0024822801351547237,Malignant,False,0.022892139024204672,True,False
PMC9465161_m7G_lncRNA_COAD,GSE81861,5,7,Epithelial,4,0.8,0.743,0.0018444695662521568,Epithelial_mixed,False,0.019136371749866127,True,True
