gene,wilcoxon_top_celltype,gold_top_celltype,match_vs_gold,dataset,zscore_top_celltype,wilcoxon_vs_zscore_match,wilcoxon_cat,zscore_cat,cat_match
CXCL13,TCD8,TCD8,True,GSE178341,TCD8,True,Immune_Hematopoietic,Immune_Hematopoietic,True
CYP1B1,Endo,Endo,True,GSE178341,Endo,True,Stromal_Vascular,Stromal_Vascular,True
FABP4,Endo,Peri,False,GSE178341,Peri,False,Stromal_Vascular,Stromal_Vascular,True
FSTL3,Epi,Schwann,False,GSE178341,Schwann,False,Epithelial_mixed,Stromal_Vascular,False
GABRE,Epi,Fibro,False,GSE178341,Fibro,False,Epithelial_mixed,Stromal_Vascular,False
HOXC6,Epi,Peri,False,GSE178341,Peri,False,Epithelial_mixed,Stromal_Vascular,False
HSPA1A,Macro,Schwann,False,GSE178341,Schwann,False,Immune_Hematopoietic,Stromal_Vascular,False
ITLN1,Epi,Epi,True,GSE178341,Epi,True,Epithelial_mixed,Epithelial_mixed,True
KDR,Endo,Endo,True,GSE178341,Endo,True,Stromal_Vascular,Stromal_Vascular,True
KIF13B,Epi,Epi,True,GSE178341,Epi,True,Epithelial_mixed,Epithelial_mixed,True
KLK10,Epi,Epi,True,GSE178341,Epi,True,Epithelial_mixed,Epithelial_mixed,True
LEF1,TCD4,TCD4,True,GSE178341,TCD4,True,Immune_Hematopoietic,Immune_Hematopoietic,True
LTBP1,Fibro,SmoothMuscle,False,GSE178341,SmoothMuscle,False,Stromal_Vascular,Stromal_Vascular,True
MEIS2,Endo,Fibro,False,GSE178341,Fibro,False,Stromal_Vascular,Stromal_Vascular,True
MELTF,Epi,Epi,True,GSE178341,Epi,True,Epithelial_mixed,Epithelial_mixed,True
MMP1,Fibro,Fibro,True,GSE178341,Fibro,True,Stromal_Vascular,Stromal_Vascular,True
MMP11,Fibro,Peri,False,GSE178341,Peri,False,Stromal_Vascular,Stromal_Vascular,True
MMP12,Macro,Macro,True,GSE178341,Macro,True,Immune_Hematopoietic,Immune_Hematopoietic,True
MMP14,Macro,Fibro,False,GSE178341,Fibro,False,Immune_Hematopoietic,Stromal_Vascular,False
MMP3,Fibro,Fibro,True,GSE178341,Fibro,True,Stromal_Vascular,Stromal_Vascular,True
PCSK5,Epi,Schwann,False,GSE178341,Schwann,False,Epithelial_mixed,Stromal_Vascular,False
S100A4,TCD4,Mono,False,GSE178341,Mono,False,Immune_Hematopoietic,Immune_Hematopoietic,True
SCG2,Epi,Fibro,False,GSE178341,Fibro,False,Epithelial_mixed,Stromal_Vascular,False
SLC2A3,Mono,Granulo,False,GSE178341,Granulo,False,Immune_Hematopoietic,Immune_Hematopoietic,True
SPINK1,Epi,Epi,True,GSE178341,Epi,True,Epithelial_mixed,Epithelial_mixed,True
SPP1,Macro,Macro,True,GSE178341,Macro,True,Immune_Hematopoietic,Immune_Hematopoietic,True
STC1,Endo,Endo,True,GSE178341,Endo,True,Stromal_Vascular,Stromal_Vascular,True
TIMP1,Mono,Fibro,False,GSE178341,Fibro,False,Immune_Hematopoietic,Stromal_Vascular,False
VCAN,Mono,Mono,True,GSE178341,Mono,True,Immune_Hematopoietic,Immune_Hematopoietic,True
VEGFA,Epi,Granulo,False,GSE178341,Granulo,False,Epithelial_mixed,Immune_Hematopoietic,False
VSIG4,Macro,Macro,True,GSE178341,Macro,True,Immune_Hematopoietic,Immune_Hematopoietic,True
ZNF532,Endo,Peri,False,GSE178341,Peri,False,Stromal_Vascular,Stromal_Vascular,True
FGF1,CAFs,CAFs,True,BRCA,CAFs,True,Stromal_Vascular,Stromal_Vascular,True
PPP1R16B,T-cells,T-cells,True,BRCA,T-cells,True,Immune_Hematopoietic,Immune_Hematopoietic,True
XBP1,Cancer Epithelial,Plasmablasts,False,BRCA,Plasmablasts,False,Malignant,Immune_Hematopoietic,False
MYDGF,Cancer Epithelial,Plasmablasts,False,BRCA,Plasmablasts,False,Malignant,Immune_Hematopoietic,False
TPX2,Malignant cells,Malignant cells,True,HCC,Malignant cells,True,Malignant,Malignant,True
KIF4A,Malignant cells,Malignant cells,True,HCC,Malignant cells,True,Malignant,Malignant,True
UBE2S,Malignant cells,T cells,False,HCC,T cells,False,Malignant,Immune_Hematopoietic,False
RAN,Malignant cells,Malignant cells,True,HCC,Malignant cells,True,Malignant,Malignant,True
BCAR3,Malignant cells,CAFs,False,HCC,CAFs,False,Malignant,Stromal_Vascular,False
YWHAG,Malignant cells,TECs,False,HCC,TECs,False,Malignant,Stromal_Vascular,False
RAB11A,Malignant cells,TECs,False,HCC,TECs,False,Malignant,Stromal_Vascular,False
GPLD1,Malignant cells,Malignant cells,True,HCC,Malignant cells,True,Malignant,Malignant,True
EPAS1,TECs,TECs,True,HCC,TECs,True,Stromal_Vascular,Stromal_Vascular,True
GOT2,Malignant cells,Malignant cells,True,HCC,Malignant cells,True,Malignant,Malignant,True
KDR,TECs,TECs,True,HCC,TECs,True,Stromal_Vascular,Stromal_Vascular,True
ATF3,TAMs,CAFs,False,HCC,CAFs,False,Immune_Hematopoietic,Stromal_Vascular,False
KLKB1,Malignant cells,Malignant cells,True,HCC,Malignant cells,True,Malignant,Malignant,True
SLC22A1,Malignant cells,Malignant cells,True,HCC,Malignant cells,True,Malignant,Malignant,True
ITGAV,DC,Mono/Macro,False,STAD,Mono/Macro,False,Immune_Hematopoietic,Immune_Hematopoietic,True
STC1,Endothelial,Endothelial,True,STAD,Endothelial,True,Stromal_Vascular,Stromal_Vascular,True
SLCO2A1,Endothelial,Endothelial,True,STAD,Endothelial,True,Stromal_Vascular,Stromal_Vascular,True
NRP1,Endothelial,Endothelial,True,STAD,Endothelial,True,Stromal_Vascular,Stromal_Vascular,True
POSTN,Fibroblasts,Fibroblasts,True,STAD,Fibroblasts,True,Stromal_Vascular,Stromal_Vascular,True
VTN,Epithelial,Epithelial,True,STAD,Epithelial,True,Epithelial_mixed,Epithelial_mixed,True
SERPINA5,Epithelial,Fibroblasts,False,STAD,Fibroblasts,False,Epithelial_mixed,Stromal_Vascular,False
LPL,DC,DC,True,STAD,DC,True,Immune_Hematopoietic,Immune_Hematopoietic,True
KCNJ8,Fibroblasts,Fibroblasts,True,STAD,Fibroblasts,True,Stromal_Vascular,Stromal_Vascular,True
COL5A2,Fibroblasts,Fibroblasts,True,BLCA,Fibroblasts,True,Stromal_Vascular,Stromal_Vascular,True
JAG1,Myofibroblasts,Myofibroblasts,True,BLCA,Myofibroblasts,True,Stromal_Vascular,Stromal_Vascular,True
MSX1,Endothelial,Endothelial,True,BLCA,Endothelial,True,Stromal_Vascular,Stromal_Vascular,True
OLR1,Epithelial,Epithelial,True,BLCA,Epithelial,True,Epithelial_mixed,Epithelial_mixed,True
STC1,Endothelial,Endothelial,True,BLCA,Endothelial,True,Stromal_Vascular,Stromal_Vascular,True
