model,dataset,n_genes,K_celltypes,top_celltype,top_count,max_prop,entropy_concentration,binom_pvalue,top_category,tautological_pool,fdr_qvalue,significant_fdr05,underpowered_n_lt6
PMC11855622_mitophagyE3_BRCA,GSE176078,4,9,Cancer Epithelial,3,0.75,0.744,0.005029721079103795,Malignant,False,0.012933568489124045,True,True
PMC11866598_telomere_HCC,GSE151530,18,6,Malignant cells,16,0.889,0.805,3.855850404490994e-11,Malignant,False,4.164318436850273e-09,True,False
PMC11914417_disulfidptosis_CRC,GSE81861,8,7,Epithelial,4,0.5,0.377,0.018018488409226964,Epithelial_mixed,False,0.03603697681845393,True,False
PMC11920466_COAD,GSE81861,10,7,Fibroblast,4,0.4,0.244,0.042683644116373556,Stromal_Vascular,False,0.06680918209519339,False,False
PMC12047218_glycolysis_OS,OS_GSE162454,4,8,Malignant,3,0.75,0.73,0.007080078125,Malignant,False,0.0169921875,True,True
PMC12055729_lactylation_UCEC,UCEC_GSE139555,1,6,Fibroblasts,1,1.0,1.0,0.16666666666666666,Stromal_Vascular,False,0.20454545454545453,False,True
PMC12078231_ubiquitination_ALL,ALL_GSE132509,9,7,Malignant,4,0.444,0.346,0.028809494031103593,Malignant,False,0.04938770405332044,True,False
PMC12084325_disulfidptosis_lncRNA_AML,AML_GSE116256,3,13,Malignant,2,0.667,0.752,0.016841147018661816,Malignant,False,0.03431780901915993,True,True
PMC12179157_PANoptosis_SKCM,SKCM_GSE120575,9,10,Mono/Macro,2,0.222,0.313,0.225159022,Immune_Hematopoietic,False,0.25869334442553193,False,False
PMC12210501_ferroptosis_LUAD,NSCLC_GSE131907,4,3,CD4Tconv,2,0.5,0.054,0.40740740740740744,Immune_Hematopoietic,False,0.411214953271028,False,True
PMC12219082_necroptosis_SKCM,SKCM_GSE120575,8,10,Mono/Macro,3,0.375,0.455,0.03809179000000002,Immune_Hematopoietic,False,0.06049872529411768,False,False
PMC12239816_hypoxia_Glioma,Glioma_GSE131928,23,8,MES-like Malignant,9,0.391,0.322,0.0011635381975430353,Malignant,False,0.005711914787938537,True,False
PMC12354743_NETs_Glioma,Glioma_GSE131928,4,8,MES-like Malignant,2,0.5,0.5,0.078857421875,Malignant,False,0.11508921030405406,False,True
PMC12378281_disulfidptosis_AML,AML_GSE116256,6,13,Plasma,3,0.5,0.516,0.007622634332537296,Immune_Hematopoietic,False,0.01751584059391549,True,False
PMC12399450_mitochondrial_STAD,GSE167297,3,9,Epithelial,2,0.667,0.71,0.03429355281207132,Epithelial_mixed,False,0.055279159756771674,False,True
