model,gene,top_celltype,zscore
PMC10807923_anoikis_OV,NTRK2,Myofibroblasts,3.0
PMC10807923_anoikis_OV,FN1,Fibroblasts,2.2100000381469727
PMC10807923_anoikis_OV,MTOR,Malignant,1.690000057220459
PMC10807923_anoikis_OV,IGF1,Fibroblasts,2.2799999713897705
PMC10807923_anoikis_OV,ABHD4,Fibroblasts,2.2100000381469727
PMC10807923_anoikis_OV,HMCN1,Fibroblasts,2.609999895095825
PMC10807923_anoikis_OV,CDKN1B,CD8T,1.4700000286102295
PMC10807923_anoikis_OV,KRAS,Malignant,2.259999990463257
PMC10807923_anoikis_OV,MAVS,Malignant,1.7799999713897705
PMC10807923_anoikis_OV,RB1,Mono/Macro,2.740000009536743
PMC10807923_anoikis_OV,CRYAB,Malignant,1.4199999570846558
PMC10807923_anoikis_OV,LRP1,Fibroblasts,2.690000057220459
PMC10807923_anoikis_OV,LPAR1,Fibroblasts,2.859999895095825
PMC10469923_anoikis_PRAD,EGF,SMC,2.240000009536743
PMC10469923_anoikis_PRAD,MYC,Fibroblasts,1.5099999904632568
PMC10469923_anoikis_PRAD,PLK1,Mono/Macro,2.1500000953674316
PMC10469923_anoikis_PRAD,EZH2,Fibroblasts,1.6699999570846558
PMC10469923_anoikis_PRAD,NOX4,Fibroblasts,2.390000104904175
PMC10469923_anoikis_PRAD,BMP6,Endothelial,2.490000009536743
PMC10469923_anoikis_PRAD,MMP11,Fibroblasts,1.690000057220459
PMC10683111_anoikis_lncRNA_HNSCC,RAB11B-AS1,DC,2.200000047683716
PMC10683111_anoikis_lncRNA_HNSCC,LINC01503,Mono/Macro,2.9800000190734863
PMC9465161_m7G_lncRNA_COAD,LINC01011,Epithelial,2.03
PMC9465161_m7G_lncRNA_COAD,ALMS1-IT1,Epithelial,2.27
PMC9465161_m7G_lncRNA_COAD,ALKBH3-AS1,Epithelial,2.27
PMC9465161_m7G_lncRNA_COAD,LENG8-AS1,Endothelial,2.2
PMC9465161_m7G_lncRNA_COAD,NDUFB2-AS1,Epithelial,1.06
PMC10932661_m7G_lncRNA_mucinousCRC,SMIM2-AS1,Epithelial,1.92
PMC11411761_anoikis_BRCA,YAP1,PVL,1.31
PMC11411761_anoikis_BRCA,PIK3R1,Normal Epithelial,1.57
PMC11411761_anoikis_BRCA,BAK1,Myeloid,2.07
PMC11411761_anoikis_BRCA,PHLDA2,PVL,1.81
PMC11411761_anoikis_BRCA,EDA2R,CAFs,2.38
PMC11411761_anoikis_BRCA,LAMB3,Normal Epithelial,2.51
PMC11411761_anoikis_BRCA,CD24,Cancer Epithelial,2.18
PMC11411761_anoikis_BRCA,SLC2A1,Cancer Epithelial,1.95
PMC11411761_anoikis_BRCA,CDC25C,Cancer Epithelial,2.45
PMC11411761_anoikis_BRCA,SLC39A6,Cancer Epithelial,2.04
PMC10339815_DDR_lncRNA_STAD,LINC00106,Fibroblasts,1.2000000476837158
PMC10339815_DDR_lncRNA_STAD,AL590705.3,Fibroblasts,2.359999895095825
PMC10339815_DDR_lncRNA_STAD,AC007405.3,Epithelial,1.9600000381469727
