gene,top_celltype,wilcoxon_z
ADAM8,Macrophage,2.3
APP,Epithelial,5.43
ARMCX2,Macrophage,1.55
BIRC5,Tcell,1.35
CALB2,MastCell,4.7
CCL11,Fibroblast,3.56
CCL24,Epithelial,0.0
CD36,Endothelial,4.03
COL3A1,Fibroblast,11.17
CXCL10,Macrophage,2.8
CXCL11,Macrophage,2.36
CXCL12,Fibroblast,6.47
CXCL13,Tcell,4.06
CYP1B1,Fibroblast,2.04
FABP4,Endothelial,3.82
FSTL3,Fibroblast,4.56
GABRE,Epithelial,2.69
HOXC6,Epithelial,2.44
HSPA1A,Fibroblast,3.15
ITLN1,Epithelial,3.16
KDR,Endothelial,9.64
KIF13B,Epithelial,4.54
KLK10,Epithelial,4.47
LEF1,Endothelial,3.04
LTBP1,Fibroblast,6.02
MEIS2,Fibroblast,4.4
MMP1,Fibroblast,2.01
MMP11,Fibroblast,4.58
MMP12,Macrophage,3.62
MMP14,Fibroblast,5.5
MMP3,Fibroblast,1.59
PCSK5,Fibroblast,1.55
S100A4,Tcell,3.46
SCG2,Epithelial,1.8
SLC2A3,Macrophage,3.36
SPINK1,Epithelial,4.65
SPP1,Macrophage,2.41
STC1,MastCell,1.9
TIMP1,Fibroblast,6.3
VCAN,Fibroblast,5.23
VEGFA,Epithelial,2.38
VSIG4,Macrophage,7.37
ZNF532,Fibroblast,4.93
