model,dataset,n_genes,K_celltypes,top_celltype,top_count,max_prop,entropy_concentration,binom_pvalue,top_category,tautological_pool,fdr_qvalue,significant_fdr05,underpowered_n_lt6
PMC10932653_chromatin_HCC,GSE151530,3,6,Malignant cells,2,0.667,0.645,0.07407407407407406,Malignant,False,0.13559322033898302,False,True
PMC10980369_ERstress_SKCM,SKCM_GSE120575,7,10,Tprolif,2,0.286,0.241,0.14969440000000003,Immune_Hematopoietic,False,0.21272362105263162,False,False
PMC11085026_ESR_BRCA,GSE176078,8,9,Cancer Epithelial,3,0.375,0.32,0.04999816362319441,Malignant,False,0.10799603342609994,False,False
PMC11178724_cuproptosis_methylation_SKCM,SKCM_GSE120575,5,10,Mono/Macro,3,0.6,0.587,0.008560000000000002,Immune_Hematopoietic,False,0.04257555364153345,True,True
PMC11297001_oxidative_stress_COAD,GSE81861,17,7,Fibroblast,3,0.176,0.042,0.44620039922660937,Stromal_Vascular,False,0.4546192746837152,False,False
PMC11310873_lncRNA_LUAD,NSCLC_GSE131907,2,3,B,2,1.0,1.0,0.1111111111111111,Immune_Hematopoietic,False,0.16901408450704225,False,True
PMC11382408_cuproptosis_HCC,GSE151530,6,6,TECs,3,0.5,0.436,0.06228566529492454,Stromal_Vascular,False,0.12480359147025812,False,False
PMC11384320_m6A_ferroptosis_COAD,GSE81861,6,7,Endothelial,3,0.5,0.48,0.04162381320708209,Stromal_Vascular,False,0.0966796875,False,False
PMC11411761_anoikis_BRCA,GSE176078,10,9,Cancer Epithelial,4,0.4,0.331,0.01842165434191409,Malignant,False,0.06381793033922706,False,False
PMC11483459_cuproptosis_CRC,GSE81861,2,7,Fibroblast,1,0.5,0.644,0.2653061224489796,Stromal_Vascular,False,0.31486880466472306,False,True
PMC11491388_disulfidptosis_lncRNA_HCC,GSE151530,4,6,Malignant cells,2,0.5,0.42,0.13194444444444442,Malignant,False,0.19256756756756752,False,True
PMC11504279_hypoxia_PAAD,PAAD_GSE154778,3,6,Malignant,2,0.667,0.645,0.07407407407407406,Malignant,False,0.13559322033898302,False,True
PMC11550951_cuproptosis_lncRNA_PRAD,PRAD_GSE172301,3,9,Fibroblasts,2,0.667,0.71,0.03429355281207132,Stromal_Vascular,False,0.08613264427217912,False,True
PMC11564170_cuproptosis_AML,AML_GSE116256,8,13,EryPro,2,0.25,0.392,0.12147950107667946,Immune_Hematopoietic,False,0.1797230974833066,False,False
PMC11577587_glutamine_HCC,GSE151530,4,6,Malignant cells,4,1.0,1.0,0.0007716049382716048,Malignant,False,0.008585449308156967,True,True
PMC11634757_lactylation_STAD,GSE167297,3,9,Endothelial,2,0.667,0.71,0.03429355281207132,Stromal_Vascular,False,0.08613264427217912,False,True
PMC11656000_pyroptosis_CRC,GSE81861,25,7,Fibroblast,6,0.24,0.027,0.1362910787869845,Stromal_Vascular,False,0.19625915345325765,False,False
PMC11760997_senescence_STAD,GSE167297,4,9,Fibroblasts,3,0.75,0.744,0.005029721079103795,Stromal_Vascular,False,0.027160493827160494,True,True
PMC11855622_mitophagyE3_BRCA,GSE176078,4,9,Cancer Epithelial,2,0.5,0.527,0.06355738454503886,Malignant,False,0.12480359147025812,False,True
PMC11866598_telomere_HCC,GSE151530,18,6,Malignant cells,10,0.556,0.434,0.00019592441074945896,Malignant,False,0.004231967272188314,True,False
PMC11914417_disulfidptosis_CRC,GSE81861,8,7,Epithelial,4,0.5,0.377,0.018018488409226964,Epithelial_mixed,False,0.06381793033922706,False,False
PMC11920466_COAD,GSE81861,10,7,Fibroblast,4,0.4,0.244,0.042683644116373556,Stromal_Vascular,False,0.0966796875,False,False
PMC12047218_glycolysis_OS,OS_GSE162454,4,8,Malignant,2,0.5,0.5,0.078857421875,Malignant,False,0.13736454133064516,False,True
PMC12055729_lactylation_UCEC,UCEC_GSE139555,1,6,Fibroblasts,1,1.0,1.0,0.16666666666666666,Stromal_Vascular,False,0.225,False,True
PMC12078231_ubiquitination_ALL,ALL_GSE132509,9,7,Malignant,4,0.444,0.455,0.028809494031103593,Malignant,False,0.08409257717186995,False,False
PMC12084325_disulfidptosis_lncRNA_AML,AML_GSE116256,3,13,Malignant,1,0.333,0.572,0.21347291761492948,Malignant,False,0.2726786445168888,False,True
PMC12179157_PANoptosis_SKCM,SKCM_GSE120575,9,10,Tprolif,3,0.333,0.339,0.052972138,Immune_Hematopoietic,False,0.11001905584615386,False,False
PMC12210501_ferroptosis_LUAD,NSCLC_GSE131907,4,3,CD8T,2,0.5,0.369,0.40740740740740744,Immune_Hematopoietic,False,0.42938912621359226,False,True
PMC12219082_necroptosis_SKCM,SKCM_GSE120575,8,10,NK,4,0.5,0.473,0.005024350000000003,Immune_Hematopoietic,False,0.027160493827160494,True,False
PMC12239816_hypoxia_Glioma,Glioma_GSE131928,23,8,Mono/Macro,7,0.304,0.158,0.018909016396808018,Immune_Hematopoietic,False,0.06381793033922706,False,False
PMC12354743_NETs_Glioma,Glioma_GSE131928,4,8,AC-like Malignant,2,0.5,0.5,0.078857421875,Malignant,False,0.13736454133064516,False,True
PMC12378281_disulfidptosis_AML,AML_GSE116256,6,13,Plasma,2,0.333,0.392,0.07206272301224269,Immune_Hematopoietic,False,0.13559322033898302,False,False
PMC12399450_mitochondrial_STAD,GSE167297,3,9,Endothelial,1,0.333,0.5,0.29766803840877915,Stromal_Vascular,False,0.3420015760441293,False,True
PMC12402452_exosome_AML,AML_GSE116256,5,13,EryPro,1,0.2,0.373,0.3298230777310642,Immune_Hematopoietic,False,0.35308947561422815,False,True
PMC12504172_nucleotide_MB,MB_GSE155446,15,4,Malignant,10,0.667,0.312,0.000794949010014534,Malignant,False,0.008585449308156967,True,False
PMC12647489_cholesterol_HCC,GSE151530,8,6,Malignant cells,6,0.75,0.589,0.00044117226794695925,Malignant,False,0.007941100823045267,True,False
PMC12891303_CAF_BLCA,BLCA_GSE130001,6,4,Fibroblasts,5,0.833,0.675,0.004638671875,Stromal_Vascular,False,0.027160493827160494,True,False
PMC12891315_CAF_UCEC,UCEC_GSE139555,12,6,Tprolif,9,0.75,0.597,1.3419348143773245e-05,Immune_Hematopoietic,False,0.0007246447997637552,True,False
PMC12905907_disulfidptosis_SKCM,SKCM_GSE120575,5,10,DC,1,0.2,0.301,0.40951000000000004,Immune_Hematopoietic,False,0.42938912621359226,False,True
PMC12906242_m6A_OS,OS_GSE162454,14,8,Osteoblasts,4,0.286,0.195,0.08732814031054659,Stromal_Vascular,False,0.14970538338950842,False,False
PMC12971589_CAF_OSCC,OSCC_GSE172577,8,11,Endothelial,2,0.25,0.277,0.16028671562247984,Stromal_Vascular,True,0.22376067308521558,False,False
PMC13083393_autophagy_BRCA,GSE176078,11,9,Endothelial,5,0.455,0.299,0.004387650216900614,Stromal_Vascular,False,0.027160493827160494,True,False
PMC13190656_ferroptosis_CRC,GSE81861,8,7,Epithelial,3,0.375,0.232,0.09355552776236337,Epithelial_mixed,False,0.15544610766669606,False,False
PMC13333213_pyroptosis_NSCLC,NSCLC_GSE131907,2,3,CD8T,2,1.0,1.0,0.1111111111111111,Immune_Hematopoietic,False,0.16901408450704225,False,True
PMC13355270_mitophagy_BLCA,BLCA_GSE130001,5,4,Epithelial,3,0.6,0.315,0.103515625,Epithelial_mixed,False,0.16440716911764705,False,True
PMC13406258_PCDgenes_BRCA,GSE176078,8,9,Cancer Epithelial,3,0.375,0.241,0.04999816362319441,Malignant,False,0.10799603342609994,False,False
PMC13490468_ATIC_HCC,GSE151530,4,6,Malignant cells,3,0.75,0.686,0.016203703703703703,Malignant,False,0.06034482758620689,False,True
PMC7847640_glycolysis_lncRNA_UCEC,UCEC_GSE139555,2,6,Tprolif,1,0.5,0.613,0.3055555555555555,Immune_Hematopoietic,False,0.34374999999999994,False,True
PMC7880321_immune_BLCA,BLCA_GSE130001,10,4,Epithelial,5,0.5,0.32,0.07812690734863281,Epithelial_mixed,False,0.13736454133064516,False,False
PMC8291813_cGASSTING_STAD,GSE167297,3,9,Mono/Macro,1,0.333,0.5,0.29766803840877915,Immune_Hematopoietic,False,0.3420015760441293,False,True
PMC8377503_glycolysis_colon,GSE81861,8,7,Endothelial,2,0.25,0.199,0.3201666458217726,Stromal_Vascular,False,0.35283671172195347,False,False
