model,significant_fdr05_z,top_category_z,significant_fdr05_w,top_category_w,sig_agree,category_agree
PMC8291813_cGASSTING_STAD,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC8377503_glycolysis_colon,False,Stromal_Vascular,True,Epithelial_mixed,False,False
PMC8379743_m6A_LUAD,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC8464158_glycolysis_lncRNA_OV,False,Immune_Hematopoietic,True,Epithelial_mixed,False,False
PMC8605142_glycolysis_HCC,False,Malignant,True,Malignant,False,True
PMC8791745_hypoxia_lncRNA_HNSCC,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC8812245_glycolysis_READ,False,Epithelial_mixed,True,Epithelial_mixed,False,True
PMC8994655_autophagy_lncRNA_STAD,False,Stromal_Vascular,False,Immune_Hematopoietic,True,False
PMC9035888_autophagy_BRCA,False,Malignant,False,Malignant,True,True
PMC9048552_autophagy_lncRNA_SKCM,False,Immune_Hematopoietic,True,Immune_Hematopoietic,False,True
PMC9086515_ferroptosis_Glioma,False,Malignant,True,Malignant,False,True
PMC9092832_hypoxia_lncRNA_digestive_panCancer,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC9097333_autophagy_GBM,False,Malignant,True,Malignant,False,True
PMC9124146_autophagy_lncRNA_PAAD,False,Epithelial_mixed,False,Epithelial_mixed,True,True
PMC9341065_immune_autophagy_BLCA,False,Stromal_Vascular,False,Stromal_Vascular,True,True
PMC9342864_autophagy_Glioma,False,Malignant,False,Malignant,True,True
PMC9361349_DNArepair_SKCM,True,Immune_Hematopoietic,True,Immune_Hematopoietic,True,True
PMC9420977_cuproptosis_Glioma,True,Malignant,True,Malignant,True,True
PMC9465161_m7G_lncRNA_COAD,True,Epithelial_mixed,True,Epithelial_mixed,True,True
PMC9468367_ICD_lncRNA_HCC,False,Malignant,True,Malignant,False,True
PMC9523360_telomere_KIRC,False,Malignant,True,Malignant,False,True
PMC9524961_hypoxia_HCC,False,Malignant,True,Malignant,False,True
PMC9550247_autophagy_LUAD,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC9561419_glycolysis_immune_LUSC,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC9578220_chromatin_immune_UCEC,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC9614251_glycolysis_lncRNA_STAD,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC9614380_aminoacid_KIRC,False,Epithelial_mixed,True,Epithelial_mixed,False,True
PMC9618960_ICD_LGG,True,Immune_Hematopoietic,False,Immune_Hematopoietic,False,True
PMC9636133_mitophagy_CRC,False,Stromal_Vascular,True,Epithelial_mixed,False,False
PMC9662042_autophagy_lncRNA_KIRC,False,Stromal_Vascular,False,Stromal_Vascular,True,True
PMC9709208_ICD_UVM,False,Immune_Hematopoietic,True,Immune_Hematopoietic,False,True
PMC9720162_ICD_lncRNA_HCC,False,Malignant,True,Malignant,False,True
PMC9767988_pyroptosis_lncRNA_STAD,False,Stromal_Vascular,False,Epithelial_mixed,True,False
PMC9805482_autophagy_OS,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC9843944_autophagy_LUAD,True,Immune_Hematopoietic,True,Immune_Hematopoietic,True,True
PMC9870742_anoikis_LUAD,True,Immune_Hematopoietic,False,Immune_Hematopoietic,False,True
PMC9906058_ferroptosis_cuproptosis_HCC,True,Malignant,True,Malignant,True,True
