model,gene,top_celltype,zscore
PMC12354743_NETs_Glioma,MAPK1,AC-like Malignant,1.899999976158142
PMC12354743_NETs_Glioma,P2RX1,AC-like Malignant,1.9600000381469727
PMC12354743_NETs_Glioma,PARVB,Mono/Macro,1.899999976158142
PMC12354743_NETs_Glioma,STAT3,OPC-like Malignant,1.5199999809265137
PMC10980369_ERstress_SKCM,ZBP1,Plasma,1.2999999523162842
PMC10980369_ERstress_SKCM,DIABLO,Tprolif,1.8600000143051147
PMC10980369_ERstress_SKCM,GNLY,NK,2.7100000381469727
PMC10980369_ERstress_SKCM,FASLG,CD8Tex,1.7300000190734863
PMC10980369_ERstress_SKCM,AURKA,Tprolif,2.8299999237060547
PMC10980369_ERstress_SKCM,TNFRSF21,DC,2.819999933242798
PMC10980369_ERstress_SKCM,CD40LG,CD4Tconv,1.9800000190734863
PMC9361349_DNArepair_SKCM,TYMS,Tprolif,2.8399999141693115
PMC9361349_DNArepair_SKCM,SNAPC5,Tprolif,1.940000057220459
PMC9361349_DNArepair_SKCM,CMPK2,CD8Tex,1.440000057220459
PMC9361349_DNArepair_SKCM,PDE4B,DC,1.840000033378601
PMC9361349_DNArepair_SKCM,HCLS1,Treg,0.8999999761581421
PMC9361349_DNArepair_SKCM,NME1,Tprolif,2.240000009536743
PMC9361349_DNArepair_SKCM,POLR2A,DC,1.350000023841858
PMC9361349_DNArepair_SKCM,COX17,Tprolif,2.130000114440918
PMC9361349_DNArepair_SKCM,LIG1,Tprolif,2.7899999618530273
PMC9361349_DNArepair_SKCM,POLE4,Tprolif,2.1700000762939453
PMC9361349_DNArepair_SKCM,GTF2H1,Tprolif,1.2300000190734863
PMC9361349_DNArepair_SKCM,AK1,CD8Tex,1.149999976158142
PMC12179157_PANoptosis_SKCM,CTSS,Mono/Macro,2.319999933242798
PMC12179157_PANoptosis_SKCM,ADAMDEC1,Mono/Macro,2.7899999618530273
PMC12179157_PANoptosis_SKCM,CMAHP,Tprolif,1.6799999475479126
PMC12179157_PANoptosis_SKCM,CD69,B,1.4700000286102295
PMC12179157_PANoptosis_SKCM,PIM2,Treg,1.6299999952316284
PMC12179157_PANoptosis_SKCM,CRIP1,Tprolif,2.2100000381469727
PMC12179157_PANoptosis_SKCM,LSP1,Tprolif,1.2599999904632568
PMC12179157_PANoptosis_SKCM,BCL11B,CD8T,1.1200000047683716
PMC12179157_PANoptosis_SKCM,CCR7,B,2.0799999237060547
PMC10076677_anoikis_lncRNA_OS,MEF2C-AS1,Fibroblasts,2.1500000953674316
PMC10076677_anoikis_lncRNA_OS,TBX2-AS1,Fibroblasts,2.4700000286102295
PMC13355270_mitophagy_BLCA,NTN4,Epithelial,0.9100000262260437
PMC13355270_mitophagy_BLCA,AKR1B1,Epithelial,1.159999966621399
PMC13355270_mitophagy_BLCA,FBXW7,Endothelial,1.2000000476837158
PMC13355270_mitophagy_BLCA,MYH10,Fibroblasts,1.4900000095367432
PMC13355270_mitophagy_BLCA,IGF2BP3,Epithelial,1.5
PMC12055729_lactylation_UCEC,SCGB2A1,Fibroblasts,2.0399999618530273
PMC9870742_anoikis_LUAD,CDH2,B,1.149999976158142
PMC9870742_anoikis_LUAD,PARP1,B,1.1399999856948853
PMC9870742_anoikis_LUAD,LAMB3,CD8T,1.149999976158142
PMC9870742_anoikis_LUAD,ANGPTL4,CD8T,1.149999976158142
PMC9870742_anoikis_LUAD,PPARG,CD8T,1.149999976158142
PMC9870742_anoikis_LUAD,PAK1,CD8T,0.8600000143051147
PMC9870742_anoikis_LUAD,CAV1,CD8T,1.1299999952316284
PMC9870742_anoikis_LUAD,PLAT,CD8T,1.1100000143051147
PMC9870742_anoikis_LUAD,FGF2,B,1.0
PMC9870742_anoikis_LUAD,ITGA8,CD8T,1.149999976158142
PMC9870742_anoikis_LUAD,ITGB4,CD8T,1.149999976158142
PMC9870742_anoikis_LUAD,HMGA1,B,1.100000023841858
PMC9870742_anoikis_LUAD,SLC2A1,CD8T,1.100000023841858
PMC9870742_anoikis_LUAD,PLK1,CD8T,0.800000011920929
PMC9870742_anoikis_LUAD,TIMP1,CD8T,1.1100000143051147
PMC9870742_anoikis_LUAD,PBK,CD8T,1.0499999523162842
PMC8291813_cGASSTING_STAD,IL6,Mono/Macro,1.5700000524520874
PMC8291813_cGASSTING_STAD,NFKB2,Mast,1.7999999523162842
PMC8291813_cGASSTING_STAD,TRIM25,Endothelial,2.4000000953674316
PMC9523360_telomere_KIRC,ISG15,Endothelial,1.3799999952316284
PMC9523360_telomere_KIRC,RFC2,Malignant,2.130000114440918
PMC9523360_telomere_KIRC,TRIM15,Malignant,2.450000047683716
PMC9523360_telomere_KIRC,NEK6,Malignant,1.899999976158142
