model,gene,top_celltype
PMC13355270_mitophagy_BLCA,FBXW7,Endothelial
PMC13355270_mitophagy_BLCA,MYH10,Fibroblasts
PMC13355270_mitophagy_BLCA,IGF2BP3,Epithelial
PMC10564413_senescence_CESC,PTTG1,Malignant
PMC10564413_senescence_CESC,E2F1,Malignant
PMC10564413_senescence_CESC,CBX7,Endometrial stromal cells
PMC10564413_senescence_CESC,SPOP,SMC
PMC10564413_senescence_CESC,RPS6KA6,Endometrial stromal cells
PMC10564413_senescence_CESC,ABI3,Endothelial
PMC12647489_cholesterol_HCC,EPHX2,Malignant cells
PMC12647489_cholesterol_HCC,FABP5,TAMs
PMC12647489_cholesterol_HCC,SQLE,Malignant cells
PMC12647489_cholesterol_HCC,ANXA2,TECs
PMC12647489_cholesterol_HCC,ADH4,Malignant cells
PMC12647489_cholesterol_HCC,HMGCS2,Malignant cells
PMC12647489_cholesterol_HCC,CYP7A1,Malignant cells
PMC12647489_cholesterol_HCC,ACADL,Malignant cells
PMC13490468_ATIC_HCC,ATIC,Malignant cells
PMC13490468_ATIC_HCC,RHEB,Malignant cells
PMC13490468_ATIC_HCC,TMEM74,Malignant cells
PMC13490468_ATIC_HCC,PRKCD,TAMs
PMC9906058_ferroptosis_cuproptosis_HCC,TXNRD1,Malignant cells
PMC9906058_ferroptosis_cuproptosis_HCC,FTL,Malignant cells
PMC9906058_ferroptosis_cuproptosis_HCC,GPX4,Malignant cells
PMC9906058_ferroptosis_cuproptosis_HCC,PRDX1,Malignant cells
PMC9906058_ferroptosis_cuproptosis_HCC,VDAC2,Malignant cells
PMC9906058_ferroptosis_cuproptosis_HCC,OTUB1,Malignant cells
PMC9906058_ferroptosis_cuproptosis_HCC,NRAS,Malignant cells
PMC9906058_ferroptosis_cuproptosis_HCC,SLC38A1,T cells
PMC9906058_ferroptosis_cuproptosis_HCC,SLC1A5,Malignant cells
PMC11577587_glutamine_HCC,G6PD,Malignant cells
PMC11577587_glutamine_HCC,GPX7,Malignant cells
PMC11577587_glutamine_HCC,RRM1,Malignant cells
PMC11577587_glutamine_HCC,RRM2,Malignant cells
PMC9524961_hypoxia_HCC,ENO1,Malignant cells
PMC9524961_hypoxia_HCC,SAP30,Malignant cells
PMC9524961_hypoxia_HCC,STC2,Malignant cells
PMC10294479_autophagy_HCC,GNAI3,TAMs
PMC10294479_autophagy_HCC,FKBP1A,TECs
PMC10294479_autophagy_HCC,BIRC5,Malignant cells
PMC10294479_autophagy_HCC,SH3GLB1,TECs
PMC10294479_autophagy_HCC,HIF1A,TAMs
PMC10294479_autophagy_HCC,RHEB,Malignant cells
PMC10294479_autophagy_HCC,EIF2S1,Malignant cells
PMC10294479_autophagy_HCC,RAB1A,Malignant cells
PMC10294479_autophagy_HCC,ATIC,Malignant cells
PMC10294479_autophagy_HCC,NPC1,Malignant cells
PMC10294479_autophagy_HCC,PRKCD,TAMs
PMC10294479_autophagy_HCC,ATG4B,Malignant cells
PMC10294479_autophagy_HCC,CLN3,Malignant cells
PMC10164321_pyroptosis_HCC,BAK1,Malignant cells
PMC10164321_pyroptosis_HCC,NOD2,TAMs
PMC11491388_disulfidptosis_lncRNA_HCC,TMCC1-AS1,Malignant cells
PMC11491388_disulfidptosis_lncRNA_HCC,FOXD2-AS1,Malignant cells
PMC11491388_disulfidptosis_lncRNA_HCC,LINC01063,Malignant cells
PMC11491388_disulfidptosis_lncRNA_HCC,SLC25A30-AS1,Malignant cells
PMC11382408_cuproptosis_HCC,SOX4,Malignant cells
PMC11382408_cuproptosis_HCC,NDRG2,Malignant cells
PMC11382408_cuproptosis_HCC,MYC,Malignant cells
PMC11382408_cuproptosis_HCC,TM4SF1,TECs
PMC11382408_cuproptosis_HCC,CYB5A,Malignant cells
PMC11382408_cuproptosis_HCC,IFI27,TECs
PMC8605142_glycolysis_HCC,CDCA8,Malignant cells
PMC8605142_glycolysis_HCC,SAP30,Malignant cells
PMC8605142_glycolysis_HCC,UCK2,Malignant cells
PMC10932653_chromatin_HCC,BMI1,Malignant cells
PMC10932653_chromatin_HCC,CBX2,Malignant cells
PMC10932653_chromatin_HCC,MRGBP,Malignant cells
PMC10662873_anoikis_HCC,BSG,Malignant cells
PMC10662873_anoikis_HCC,PLK1,Malignant cells
PMC10662873_anoikis_HCC,SPP1,Malignant cells
PMC10662873_anoikis_HCC,PBK,Malignant cells
PMC10662873_anoikis_HCC,NQO1,Malignant cells
