model,gene,top_celltype,zscore
PMC9767988_pyroptosis_lncRNA_STAD,TUG1,Fibroblasts,1.7599999904632568
PMC9767988_pyroptosis_lncRNA_STAD,JPX,Fibroblasts,1.5299999713897705
PMC9767988_pyroptosis_lncRNA_STAD,MGC12916,Mono/Macro,2.5
PMC9614251_glycolysis_lncRNA_STAD,AC010719.1,Plasma,2.559999942779541
PMC9614251_glycolysis_lncRNA_STAD,AC009948.1,DC,1.5800000429153442
PMC9614251_glycolysis_lncRNA_STAD,AL355574.1,Plasma,1.600000023841858
PMC11178724_cuproptosis_methylation_SKCM,AOC1,Mono/Macro,2.75
PMC11178724_cuproptosis_methylation_SKCM,ACO1,Mono/Macro,2.740000009536743
PMC11178724_cuproptosis_methylation_SKCM,DPYD,Mono/Macro,2.369999885559082
PMC11178724_cuproptosis_methylation_SKCM,ABCB8,DC,2.1700000762939453
PMC11178724_cuproptosis_methylation_SKCM,CIAO1,Tprolif,1.8899999856948853
PMC9342864_autophagy_Glioma,DIRAS3,MES-like Malignant,1.899999976158142
PMC9342864_autophagy_Glioma,CFLAR,CD8Tex,1.4500000476837158
PMC9342864_autophagy_Glioma,BAX,CD8Tex,1.1200000047683716
PMC9342864_autophagy_Glioma,TP53,OPC-like Malignant,1.9299999475479126
PMC9342864_autophagy_Glioma,GRID2,OPC-like Malignant,1.5199999809265137
PMC9342864_autophagy_Glioma,BIRC5,Malignant,2.440000057220459
PMC9342864_autophagy_Glioma,MAPK9,Oligodendrocyte,1.7899999618530273
PMC9342864_autophagy_Glioma,PTK6,NPC-like Malignant,1.6299999952316284
PMC9342864_autophagy_Glioma,MYC,MES-like Malignant,1.3799999952316284
PMC9669765_autophagy_lncRNA_CESC,MIR9-3HG,Malignant,2.130000114440918
PMC9561419_glycolysis_immune_LUSC,PYGB,CD8T,1.0099999904632568
PMC9561419_glycolysis_immune_LUSC,SERPIND1,CD8T,0.9900000095367432
PMC9561419_glycolysis_immune_LUSC,MDH1,CD4Tconv,0.8199999928474426
PMC9561419_glycolysis_immune_LUSC,TSLP,CD8T,1.090000033378601
PMC10414028_hypoxia_LUAD,HK1,CD8T,0.6600000262260437
PMC10414028_hypoxia_LUAD,PDK3,CD8T,1.100000023841858
PMC10414028_hypoxia_LUAD,PFKL,B,1.1100000143051147
PMC10414028_hypoxia_LUAD,SLC2A1,CD8T,1.100000023841858
PMC10414028_hypoxia_LUAD,STC1,CD8T,1.059999942779541
PMC10414028_hypoxia_LUAD,XPNPEP1,CD4Tconv,1.1399999856948853
PMC9550247_autophagy_LUAD,EIF2AK3,B,1.090000033378601
PMC9550247_autophagy_LUAD,ITGB1,CD8T,1.1200000047683716
PMC8403747_glycolysis_lncRNA_KIRC,ADAMTS9-AS2,Malignant,1.2999999523162842
PMC11953504_disulfidptosis_lncRNA_BLCA,LINC-PINT,Endothelial,1.1399999856948853
PMC9341065_immune_autophagy_BLCA,CD96,Endothelial,0.6700000166893005
PMC9341065_immune_autophagy_BLCA,CSF3R,Fibroblasts,1.2899999618530273
PMC9341065_immune_autophagy_BLCA,IL10,Fibroblasts,1.5
PMC9341065_immune_autophagy_BLCA,OLR1,Epithelial,1.4900000095367432
PMC11382408_cuproptosis_HCC,SOX4,TECs,0.97
PMC11382408_cuproptosis_HCC,NDRG2,CAFs,1.87
PMC11382408_cuproptosis_HCC,MYC,CAFs,1.83
PMC11382408_cuproptosis_HCC,TM4SF1,TECs,1.92
PMC11382408_cuproptosis_HCC,CYB5A,Malignant cells,1.91
PMC11382408_cuproptosis_HCC,IFI27,TECs,1.89
PMC8605142_glycolysis_HCC,CDCA8,Malignant cells,1.92
PMC8605142_glycolysis_HCC,SAP30,TAMs,1.62
PMC8605142_glycolysis_HCC,UCK2,Malignant cells,1.85
PMC8377503_glycolysis_colon,PPP2CB,Endothelial,1.76
PMC8377503_glycolysis_colon,PGM2,Endothelial,1.91
PMC8377503_glycolysis_colon,PPARGC1A,Epithelial,1.22
PMC8377503_glycolysis_colon,ENO3,Macrophage,1.48
PMC8377503_glycolysis_colon,PMM2,Bcell,1.32
PMC8377503_glycolysis_colon,P4HA1,Fibroblast,1.61
PMC8377503_glycolysis_colon,STC2,Macrophage,1.65
PMC8377503_glycolysis_colon,CHPF2,Bcell,1.98
